N,err_bromwich,err_talbot,err_ref
4,3.72945869390843732e-01,7.70679825517361916e-03,2.18359252549607183e-03
6,1.08246605836403109e-01,5.61012323997966966e-04,1.44302015285127102e-04
8,1.22259201652925364e-01,4.21996051161999119e-05,9.53615263480462644e-06
10,1.63637770190224963e-01,2.71668191376139845e-06,6.30193603981246907e-07
12,7.34921315900409766e-02,1.64542155567382054e-07,4.16461432306981090e-08
14,4.33902724765040659e-02,1.13017996072883875e-08,2.75217208653776443e-09
16,1.15010762751965645e-01,8.29065927021588323e-10,1.81876414148582428e-10
18,1.19471512995508955e-01,5.55452350781138193e-11,1.20192447940855806e-11
20,7.17793393522583312e-02,3.48754358725500424e-12,7.94287956997745195e-13
22,2.82221081709732591e-03,2.37920794177171047e-13,5.24902661889456937e-14
24,5.78062310003668589e-02,1.07691633388640184e-14,3.46880249198364343e-15
26,9.13213148087745896e-02,8.65973959207622102e-15,2.29234705822962002e-16
28,9.21643509482283907e-02,3.24185123190545710e-14,9.99999999999999979e-17
30,6.56671057774214084e-02,9.50350909079133999e-14,9.99999999999999979e-17
32,2.35209320839122604e-02,1.30229160788530862e-13,9.99999999999999979e-17
34,2.09427060776808949e-02,4.01900734914306668e-14,9.99999999999999979e-17
36,5.64364136159450913e-02,1.28785870856518159e-14,9.99999999999999979e-17
38,7.58615396866906266e-02,1.93400850889702269e-13,9.99999999999999979e-17
40,7.69369526684868799e-02,2.62900812231237069e-13,9.99999999999999979e-17
42,6.16465032319065687e-02,4.19442258703384141e-13,9.99999999999999979e-17
44,3.49642141420668517e-02,1.38156153184354480e-12,9.99999999999999979e-17
46,3.30659703673252814e-03,3.65485419706601533e-13,9.99999999999999979e-17
48,2.69277919073700467e-02,1.85407245112401142e-13,9.99999999999999979e-17
50,5.04944964596087953e-02,1.50590651060156233e-12,9.99999999999999979e-17
52,6.40014945616496078e-02,5.54001289287953114e-13,9.99999999999999979e-17
54,6.61597568026723870e-02,1.63069557856942993e-12,9.99999999999999979e-17
56,5.76499086725359433e-02,1.40539802018224691e-11,9.99999999999999979e-17
58,4.07113679852530996e-02,8.43769498715118971e-14,9.99999999999999979e-17
60,1.85750394052233148e-02,3.23729931750449396e-12,9.99999999999999979e-17
62,5.14606418129859300e-03,5.05795405558728817e-12,9.99999999999999979e-17
64,2.70147732367083115e-02,7.03372915467070925e-11,9.99999999999999979e-17
66,4.42109354094170071e-02,2.97318836217641547e-11,9.99999999999999979e-17
68,5.48201721464230962e-02,3.35975691712064872e-12,9.99999999999999979e-17
70,5.79616416565335024e-02,7.06685820972552392e-11,9.99999999999999979e-17
72,5.37679876564982617e-02,1.01846531208593660e-10,9.99999999999999979e-17
74,4.32458345538996314e-02,1.82240889046170196e-10,9.99999999999999979e-17
76,2.80536501749418798e-02,1.49559142847977000e-10,9.99999999999999979e-17
78,1.02361995269270034e-02,3.24569371379368476e-10,9.99999999999999979e-17
80,8.04767664506123026e-03,6.31834806696929263e-10,9.99999999999999979e-17
82,2.47732050005811111e-02,6.21314111270976355e-11,9.99999999999999979e-17
84,3.82510378854690192e-02,1.88006832324560946e-10,9.99999999999999979e-17
86,4.72679416887613613e-02,1.11969566951586330e-09,9.99999999999999979e-17
88,5.11614627883354434e-02,4.57561100120074116e-10,9.99999999999999979e-17
90,4.98306749003625260e-02,1.44050549266694361e-09,9.99999999999999979e-17
92,4.36909881806746281e-02,1.03806296891661987e-09,9.99999999999999979e-17
94,3.35850562469508507e-02,2.70508215827192089e-09,9.99999999999999979e-17
96,2.06640337557157938e-02,7.26316784493974410e-10,9.99999999999999979e-17
98,6.25396761965291148e-03,4.57520621388596282e-09,9.99999999999999979e-17
100,8.27877845102231724e-03,1.85268567154395214e-09,9.99999999999999979e-17
